iter	Passed	Remaining
0	1	221
1	2	201
2	3	207
3	4	217
4	5	212
5	6	203
6	7	196
7	8	195
8	9	196
9	10	198
10	11	198
11	12	197
12	13	195
13	14	193
14	15	192
15	16	192
16	17	191
17	19	194
18	20	196
19	21	195
20	22	193
21	23	191
22	24	189
23	25	187
24	26	185
25	27	185
26	28	184
27	29	182
28	30	181
29	31	180
30	33	182
31	34	183
32	35	181
33	36	179
34	37	177
35	38	176
36	39	174
37	40	173
38	41	172
39	42	171
40	43	170
41	44	168
42	46	169
43	47	168
44	48	166
45	49	165
46	50	164
47	51	162
48	52	161
49	53	159
50	54	158
51	55	157
52	56	156
53	57	155
54	58	153
55	59	152
56	60	151
57	61	149
58	62	148
59	62	146
60	63	145
61	64	144
62	65	142
63	66	141
64	67	140
65	68	138
66	69	137
67	70	136
68	71	135
69	72	134
70	73	133
71	74	132
72	75	132
73	76	130
74	77	129
75	78	127
76	79	126
77	80	125
78	80	123
79	81	122
80	82	121
81	83	120
82	84	118
83	85	117
84	85	116
85	86	115
86	88	114
87	89	113
88	89	112
89	90	110
90	91	109
91	92	108
92	93	107
93	94	106
94	95	105
95	95	103
96	96	102
97	97	101
98	98	100
99	99	99
100	100	98
101	101	97
102	102	96
103	103	95
104	104	94
105	105	93
106	106	92
107	106	91
108	107	90
109	108	88
110	109	87
111	110	86
112	111	85
113	112	84
114	112	83
115	113	82
116	114	81
117	115	80
118	116	79
119	117	78
120	118	77
121	119	76
122	119	75
123	120	73
124	121	72
125	122	71
126	123	70
127	124	69
128	125	68
129	125	67
130	126	66
131	127	65
132	128	64
133	129	63
134	130	62
135	131	61
136	132	60
137	133	59
138	134	58
139	135	57
140	135	56
141	136	55
142	137	54
143	138	53
144	139	52
145	140	51
146	141	50
147	142	49
148	142	48
149	143	47
150	144	46
151	145	46
152	146	45
153	147	44
154	148	43
155	149	42
156	150	41
157	151	40
158	152	39
159	152	38
160	153	37
161	154	36
162	155	35
163	156	34
164	157	33
165	158	32
166	159	31
167	160	30
168	160	29
169	161	28
170	162	27
171	163	26
172	164	25
173	165	24
174	166	23
175	167	22
176	167	21
177	168	20
178	170	20
179	171	19
180	172	18
181	173	17
182	174	16
183	175	15
184	176	14
185	177	13
186	178	12
187	178	11
188	179	10
189	180	9
190	181	8
191	182	7
192	183	6
193	183	5
194	184	4
195	185	3
196	186	2
197	187	1
198	188	0
199	188	0
